Date,AAPL,MSFT,SPY,TSLA
2022-05-24,138.47695922851562,254.67955017089844,378.1346130371094,209.3866729736328
2022-05-25,138.63482666015625,257.5244140625,381.4754333496094,219.60000610351562
2022-05-26,141.85107421875,260.8400573730469,389.0978698730469,235.91000366210938
2022-05-27,147.63246154785156,268.0404357910156,398.6498107910156,253.2100067138672
2022-05-31,146.8431854248047,266.6964111328125,396.4130554199219,252.75332641601562
2022-06-01,146.71490478515625,267.2360534667969,393.2066650390625,246.7899932861328
2022-06-02,149.18142700195312,269.35491943359375,400.6946716308594,258.3333435058594
2022-06-03,143.4296112060547,264.88165283203125,394.1186828613281,234.51666259765625
2022-06-06,144.17942810058594,263.6358642578125,395.3186340332031,238.27999877929688
2022-06-07,146.71490478515625,267.31451416015625,399.1105651855469,238.8866729736328
2022-06-08,145.97500610351562,265.26422119140625,394.7714538574219,241.86666870117188
2022-06-09,140.7263641357422,259.751220703125,385.3826904296875,239.7066650390625
2022-06-10,135.29029846191406,248.17576599121094,374.2082214355469,232.22999572753906
2022-06-13,130.1107635498047,237.64993286132812,360.0002136230469,215.73666381835938
2022-06-14,130.97891235351562,239.83750915527344,358.9154357910156,220.88999938964844
2022-06-15,133.61309814453125,246.96914672851562,364.0322570800781,233.0
2022-06-16,128.3151397705078,240.308349609375,351.9842224121094,213.10000610351562
2022-06-17,129.79501342773438,242.93736267089844,352.74298095703125,216.75999450683594
2022-06-21,134.04718017578125,248.91146850585938,361.622802734375,237.0366668701172
2022-06-22,133.53421020507812,248.3130645751953,360.96728515625,236.086669921875
2022-06-23,136.41500854492188,253.93402099609375,364.5055847167969,235.07000732421875
2022-06-24,139.75950622558594,262.6058349609375,376.0946960449219,245.7066650390625
2022-06-27,139.75950622558594,259.8493347167969,374.6580810546875,244.9199981689453
2022-06-28,135.59613037109375,251.59933471679688,367.0027770996094,232.663330078125
2022-06-29,137.3621063232422,255.3074188232422,366.703857421875,228.49000549316406
2022-06-30,134.8857879638672,251.94265747070312,363.72467041015625,224.47332763671875
2022-07-01,137.06613159179688,254.6403350830078,367.5715637207031,227.26333618164062
2022-07-05,139.6608428955078,257.84814453125,368.2657775878906,233.06666564941406
2022-07-06,141.00262451171875,261.1441650390625,369.5095520019531,231.73333740234375
2022-07-07,144.38662719726562,263.2925109863281,375.0437316894531,244.5433349609375
2022-07-08,145.06732177734375,262.56658935546875,374.7352294921875,250.76333618164062
2022-07-11,142.92645263671875,259.4765319824219,370.454345703125,234.3433380126953
